Id;creliq;idade;status_civil;ocupacao;numero_dependentes;renda_mensal;valor_patrim;valor_financ;cred_aberto
0;1;46;SEPARADO_JUDICIALMENTE;1;4;2964.2231;422132.8721;681418.2242;13
1;0;27;VIUVO;1;3;4985.9241;466278.6806;91397.4377;4
2;1;46;SEPARADO_JUDICIALMENTE;1;4;925.4104;465770.4318;604725.6752;6
3;1;78;SEPARADO_JUDICIALMENTE;1;3;353.6244;419974.5212;153737.4527;9
4;1;65;UNIAO_ESTAVEL;1;2;90559.0382;86347.6625;183101.6438;12
5;1;51;OUTRO;1;3;275.9006;915663.92;985611.4984;1
6;1;25;SOLTEIRO;1;2;4737.3804;104703.1828;111662.7118;20
7;1;84;UNIAO_ESTAVEL;1;1;1136.6953;159486.1138;137219.8874;6
8;1;33;SEPARADO_JUDICIALMENTE;0;2;55.5721;3154956.1436;245121.9241;8
9;1;27;SOLTEIRO;1;1;1822.3051;249565.1828;95551.0693;0
10;1;51;UNIAO_ESTAVEL;1;1;1493.8058;247294.9642;249741.4972;12
11;1;46;UNIAO_ESTAVEL;1;1;341.5342;332360.159;277958.6051;2
12;1;18;SEPARADO_JUDICIALMENTE;1;3;2231.1087;436693.5786;217356.9394;7
13;1;84;OUTRO;1;5;3036.7067;429717.0062;425407.4346;15
14;1;39;SOLTEIRO;1;2;4609.4672;329542.4457;3406.0376;4
15;1;36;VIUVO;1;0;4067.9023;295677.4986;245764.9214;19
16;1;42;SOLTEIRO;1;1;1633.2808;27843.5429;42619.1786;14
17;1;71;SOLTEIRO;1;3;908.8888;422116.9211;347530.2491;8
18;1;75;CASADO;1;2;380.0538;216312.7443;55370.2263;4
19;1;40;SOLTEIRO;1;0;2152.3411;206371.4678;78105.4218;14
20;1;20;UNIAO_ESTAVEL;1;5;4437.0586;977206.137;871086.2324;13
21;1;32;SOLTEIRO;1;2;3996.3594;339921.0875;285528.0951;14
22;1;29;OUTRO;1;1;3509.8149;365253.3218;846023.9257;17
23;1;33;CASADO;1;2;3345.4856;592494.2429;85436.3582;9
24;1;42;CASADO;1;2;32971.2113;26427.3089;295200.831;10
25;1;45;CASADO;1;0;3480.3299;216624.515;55066.5414;3
26;1;77;UNIAO_ESTAVEL;1;2;3565.5562;147458.246;236977.0012;2
27;1;44;OUTRO;1;5;2404.0075;957460.2283;260532.9563;6
28;1;71;VIUVO;1;0;854.1154;144019.7553;119880.1176;6
29;1;48;UNIAO_ESTAVEL;1;0;4002.6467;173249.5423;147594.5033;6
30;1;83;CASADO;1;1;4584.8899;109128.4506;49931.5672;14
31;1;32;OUTRO;1;2;144.958;3900997.6047;296074.1313;7
32;1;68;OUTRO;1;1;298.2825;210518.9923;827797.0256;15
33;1;77;CASADO;1;1;3448.4129;334640.5702;33872.6594;15
34;1;18;DIVORCIADO;1;0;978.8192;211687.7857;134881.0937;2
35;1;73;CASADO;1;0;2248.9753;338261.715;83949.943;14
36;1;72;CASADO;1;2;438.1949;358419.7657;400221.4131;1
37;1;60;DIVORCIADO;1;0;18226.4742;262042.7901;93592.0072;18
38;1;61;DIVORCIADO;1;5;4485.0491;956582.7199;791977.4238;19
39;1;58;SOLTEIRO;1;5;28.3337;404987.4619;37492.9085;12
40;1;48;VIUVO;1;2;3220.0411;56085.3673;86904.2512;12
41;1;25;SOLTEIRO;1;2;3402.8637;160486.6946;13997.3761;19
42;1;28;DIVORCIADO;1;2;3982.715;2650913.089;179998.8874;9
43;1;40;CASADO;1;0;2484.3065;51457.381;52467.6365;17
44;1;42;VIUVO;1;2;2162.7085;15887.3997;56141.1906;6
45;1;48;SOLTEIRO;1;0;33930.9617;335739.8356;287218.4775;19
46;1;39;UNIAO_ESTAVEL;1;0;1290.2341;342108.6506;62275.2804;20
47;1;66;VIUVO;0;5;4258.7875;9187035.8754;112246.9577;20
48;1;71;VIUVO;1;0;2132.4188;633235.6264;33355.3109;20
49;1;64;OUTRO;1;2;2368.6858;380716.263;267589.4276;6
50;1;43;VIUVO;1;0;645.8729;37188.3042;119502.6432;3
51;1;37;DIVORCIADO;1;1;1635.5539;254600.7298;750813.8087;20
52;1;24;DIVORCIADO;1;0;4116.871;73126.7348;248525.5764;13
53;1;57;VIUVO;1;4;3393.775;423132.7071;232525.0316;15
54;1;18;SEPARADO_JUDICIALMENTE;1;0;969.6666;1258.3452;662797.9085;4
55;1;54;CASADO;0;4;3475.3474;9809011.5805;295064.2181;15
56;1;42;CASADO;1;5;14114.3214;415909.1935;180252.1675;3
57;1;56;VIUVO;1;1;3059.7064;328931.3789;211030.6848;16
58;1;56;SOLTEIRO;1;4;4167.1068;445681.4557;352935.442;11
59;1;57;SOLTEIRO;1;2;81438.595;318710.4043;119958.7332;14
60;1;56;DIVORCIADO;1;0;3873.2565;364256.0703;200059.1204;15
61;1;83;SEPARADO_JUDICIALMENTE;1;2;4312.1571;34590.9614;147957.1957;11
62;1;60;VIUVO;1;2;2711.5047;233441.339;213028.1863;18
63;1;28;SEPARADO_JUDICIALMENTE;1;0;2430.128;8959.9144;158176.0951;15
64;1;49;SEPARADO_JUDICIALMENTE;1;1;3859.3543;275905.9861;614901.2308;12
65;1;38;CASADO;1;0;4346.0204;332328.8309;126568.757;11
66;1;31;DIVORCIADO;1;1;977.0117;135880.4762;98757.3475;19
67;1;22;VIUVO;1;5;3757.1202;975676.4701;100145.9532;16
68;1;59;SOLTEIRO;1;1;2022.5018;385321.0104;34641.1381;1
69;1;56;UNIAO_ESTAVEL;1;1;2007.8936;797911.9545;237033.3672;3
70;1;39;OUTRO;1;1;67477.026;541532.0126;419401.3352;18
71;1;80;CASADO;1;2;3795.5999;50345.0696;51689.1036;16
72;0;46;VIUVO;1;1;4987.5615;206101.3069;194854.2408;0
73;1;51;DIVORCIADO;1;1;1526.5943;303948.4483;183466.91;6
74;1;34;VIUVO;1;5;2102.9816;465781.4737;165920.4205;14
75;1;64;OUTRO;1;2;3561.1253;378164.9416;278967.796;11
76;1;25;CASADO;1;1;2589.9649;512959.2865;58920.3413;17
77;1;23;SOLTEIRO;1;2;8074.7643;176688.4276;242607.0611;7
78;1;83;UNIAO_ESTAVEL;1;2;4436.6652;286678.7957;527920.525;15
79;1;73;CASADO;1;1;1997.1146;230782.1292;404424.7165;18
