birthDate;maritalStatusCode;sex;creliq;ocupacao;numeroDependentes;idade;credAberto;updateDateTime;companyCnpj;occupationCode;occupationDescription;frequency;amount;currency;date;amount;currency;year;availableAmount;availableAmountCurrency;blockedAmount;blockedAmountCurrency;automaticallyInvestedAmount;automaticallyInvestedAmountCurrency;contractNumber;ipocCode;productName;productType;productSubType;contractDate;disbursementDate;settlementDate;contractAmount;currency;dueDate;instalmentPeriodicity;instalmentPeriodicityAdditionalInfo;firstInstalmentDueDate;CET;amortizationScheduled;amortizationScheduledAdditionalInfo;taxType;interestRateType;taxPeriodicity;calculation;referentialRateIndexerType;referentialRateIndexerSubType;referentialRateIndexerAdditionalInfo;preFixedRate;postFixedRate;additionalInfo;feeName;feeCode;feeChargeType;feeCharge;feeAmount;feeRate;chargeType;chargeAdditionalInfo;chargeRate;
1991-06-23;SEPARADO_JUDICIALMENTE;NAO_DISPONIVEL;1;1;4;46;13;2022-04-02T05:15:06.803Z;86453163342453;OUTRO;01;TRIMESTRAL;2964.2231;BRL;2022-04-01T23:23:03.253Z;422132.8721;BRL;2019;54836231.0318;BRL;59288532.5999;BRL;71521783.8883;BRL;8466342809234;78545398030603897188947845761765159751442;Crédito imobiliário;FINANCIAMENTOS_IMOBILIARIOS;COMERCIALIZACAO;2020-05-16;2025-10-29;2028-07-04;681418.2242;BRL;2029-05-29;BIMESTRAL;Informações adicionais sobre periodicidade;2018-11-13;0.5684;SAC;NA;NOMINAL;SIMPLES;AA;21/252;INDICES_PRECOS;LIBOR;Informações adicionais;0.6169;0.3865;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;POR_PARCELA;FIXO;;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1947-09-08;VIUVO;NAO_DISPONIVEL;0;1;3;27;4;2022-04-02T19:42:55.078Z;57618645240178;RECEITA_FEDERAL;01;MENSAL;4985.9241;BRL;2022-04-01T19:44:28.858Z;466278.6806;BRL;2021;41643901.6265;BRL;99718507.9681;BRL;72035244.9636;BRL;9120313363958;43652482056944541917879830658888080210860;Crédito renovável misto ou rotativo;FINANCIAMENTOS_RURAIS;COMERCIALIZACAO;2021-12-27;2026-04-26;2028-10-26;91397.4377;BRL;2028-10-26;OUTROS;Informações adicionais sobre periodicidade;2019-08-25;0.5332;SAC;NA;EFETIVA;SIMPLES;AM;21/252;INDICES_PRECOS;TCR_PRE;Informações adicionais;0.8347;0.4125;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;MAXIMO;;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;0.7502;
1996-11-11;SEPARADO_JUDICIALMENTE;MASCULINO;1;1;4;46;6;2022-04-02T06:31:34.673Z;16400032847206;OUTRO;01;BIMESTRAL;925.4104;BRL;2022-04-02T08:05:03.124Z;465770.4318;BRL;2019;43543089.3168;BRL;18516357.1413;BRL;2602363.5032;BRL;4433126612426;68561455177285448109520241011455221725314;Crédito direto ao consumidor;FINANCIAMENTOS;INVESTIMENTO;2018-09-28;2018-12-24;2028-04-25;604725.6752;BRL;2029-03-29;SEMESTRAL;Informações adicionais sobre periodicidade;2020-08-13;0.4831;SEM_SISTEMA_AMORTIZACAO;NA;EFETIVA;COMPOSTO;AM;30/360;CREDITO_RURAL;OUTROS_INDEXADORES;Informações adicionais;0.58;0.1194;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;MAXIMO;;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;0.7008;
1947-04-12;SEPARADO_JUDICIALMENTE;OUTRO;1;1;3;78;9;2022-04-02T12:44:11.084Z;48508221518206;RECEITA_FEDERAL;01;TRIMESTRAL;353.6244;BRL;2022-04-02T06:03:17.034Z;419974.5212;BRL;2017;55034869.6772;BRL;7081780.7127;BRL;70817700.0317;BRL;5848010220046;01446223645907592445236542145778322837909;Crédito imobiliário;FINANCIAMENTOS_IMOBILIARIOS;MICROCREDITO;2018-04-14;2025-03-01;2028-05-21;153737.4527;BRL;2028-11-08;OUTROS;Informações adicionais sobre periodicidade;2021-03-27;0.8458;PRICE;NA;NOMINAL;SIMPLES;AM;30/360;INDICES_PRECOS;TCR_PRE;Informações adicionais;0.5578;0.7136;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;FIXO;;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;0.225;
1991-05-03;UNIAO_ESTAVEL;OUTRO;1;1;2;65;12;2022-04-01T20:22:26.010Z;82184855036456;OUTRO;01;ANUAL;90559.0382;BRL;2022-04-02T05:06:04.899Z;86347.6625;BRL;2018;96699685.8526;BRL;90063138.3546;BRL;54727752.4547;BRL;6521920629467;01583961358063206984090798414006118784958;Crédito Pessoal Consignado;FINANCIAMENTOS_IMOBILIARIOS;INVESTIMENTO;2020-03-10;2021-07-15;2028-10-18;183101.6438;BRL;2029-10-29;QUINZENAL;Informações adicionais sobre periodicidade;2018-06-08;0.0357;SAC;NA;NOMINAL;COMPOSTO;AM;30/360;PRE_FIXADO;IPCC;Informações adicionais;0.3161;0.4015;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;PERCENTUAL;;0.9007;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1961-10-28;OUTRO;NAO_DISPONIVEL;1;1;3;51;1;2022-04-02T14:45:24.640Z;46556086417043;CBO;01;OUTROS;275.9006;BRL;2022-04-01T20:12:41.899Z;915663.92;BRL;2019;22121516.2328;BRL;5527460.2183;BRL;87074522.1539;BRL;4063735429180;67842178122412865545720202838181995901904;Crédito pessoal;FINANCIAMENTOS_IMOBILIARIOS;COMERCIALIZACAO;2021-06-26;2026-11-25;2027-05-02;985611.4984;BRL;2028-04-20;PERIODICIDADE_NAO_REGULAR;Informações adicionais sobre periodicidade;2021-02-12;0.6161;SAC;NA;EFETIVA;COMPOSTO;AM;21/252;INDICES_PRECOS;OUTRAS_TAXAS_FLUTUANTES;Informações adicionais;0.8162;0.6398;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;POR_PARCELA;MINIMO;5527460.21;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1943-11-09;SOLTEIRO;MASCULINO;1;1;2;25;20;2022-04-02T00:00:31.595Z;70188020237121;RECEITA_FEDERAL;01;DIARIA;4737.3804;BRL;2022-04-02T10:50:07.888Z;104703.1828;BRL;2021;89275299.7924;BRL;94748131.9113;BRL;33204660.3139;BRL;1950564534684;77352516799844688840671837674551092422874;Crédito Pessoal Consignado;FINANCIAMENTOS_RURAIS;MICROCREDITO;2019-05-01;2021-02-22;2027-08-06;111662.7118;BRL;2027-10-01;ANUAL;Informações adicionais sobre periodicidade;2020-09-07;0.7399;SAM;NA;EFETIVA;COMPOSTO;AA;30/365;OUTROS_INDEXADORES;OUTRAS_TAXAS_POS_FIXADAS;Informações adicionais;0.8216;0.2536;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;PERCENTUAL;;0.9475;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;0.7454;
1998-09-10;UNIAO_ESTAVEL;MASCULINO;1;1;1;84;6;2022-04-02T09:11:46.853Z;31312015171002;OUTRO;01;ANUAL;1136.6953;BRL;2022-04-02T08:47:02.892Z;159486.1138;BRL;2016;7538459.87;BRL;22741633.8766;BRL;77994079.6006;BRL;9352500420456;88333062696234992076298215799145373614124;Cheque especial;FINANCIAMENTOS_RURAIS;CUSTEIO;2021-02-13;2023-04-25;2025-10-22;137219.8874;BRL;2029-11-28;OUTROS;Informações adicionais sobre periodicidade;2019-11-29;0.3487;PRICE;NA;NOMINAL;COMPOSTO;AM;30/365;OUTROS_INDEXADORES;TLP;Informações adicionais;0.1795;0.5726;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;MINIMO;22741633.87;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;0.0835;
1962-08-26;SEPARADO_JUDICIALMENTE;NAO_DISPONIVEL;1;0;2;33;8;2022-04-01T22:51:27.434Z;68021280310424;CBO;01;TRIMESTRAL;55.5721;BRL;2022-04-02T00:07:23.534Z;3154956.1436;BRL;2020;87330282.4077;BRL;1121332.6509;BRL;96854380.1244;BRL;2406474458495;15774786043249830220296133104253985369103;Crédito direto ao consumidor;FINANCIAMENTOS;CUSTEIO;2021-11-16;2023-05-05;2028-04-05;245121.9241;BRL;2028-12-01;TRIMESTRAL;Informações adicionais sobre periodicidade;2021-01-21;0.6601;OUTROS;NA;NOMINAL;SIMPLES;AM;30/360;SEM_TIPO_INDEXADOR;TLP;Informações adicionais;0.6653;0.8011;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;PERCENTUAL;;0.0111;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;;
1940-06-14;SOLTEIRO;MASCULINO;1;1;1;27;0;2022-04-02T07:49:10.657Z;23108552755696;RECEITA_FEDERAL;01;SEMANAL;1822.3051;BRL;2022-04-02T12:07:43.510Z;249565.1828;BRL;2021;938453.2209;BRL;36452457.6407;BRL;50192440.2937;BRL;1028412103341;38397096751816955793665864793889110509462;Crédito com renovação simples;FINANCIAMENTOS_IMOBILIARIOS;FINANCIAMENTO_HABITACIONAL_EXCETO_SFH;2020-01-04;2023-12-30;2026-06-23;95551.0693;BRL;2026-07-02;OUTROS;Informações adicionais sobre periodicidade;2018-09-29;0.6696;PRICE;NA;EFETIVA;COMPOSTO;AA;30/365;SEM_TIPO_INDEXADOR;TCR_PRE;Informações adicionais;0.5803;0.3469;Informações adicionais;Excesso em Conta;EXCESSO_CONTA;UNICA;MINIMO;36452457.64;;JUROS_REMUNERATORIOS_POR_ATRASO;Informações adicionais sobre encargos.;0.16;
